            Interval                 Arc              Radial            Vertical
                   0                   0                   0           -0.140097
                   1            0.151601            0.151507           -0.134769
                   2            0.303201            0.303069           -0.131326
                   3            0.454802            0.454634           -0.128047
                   4            0.606403             0.60618           -0.123976
                   5            0.758004            0.757711           -0.119391
                   6            0.909604            0.909226           -0.114296
                   7             1.06121             1.06072           -0.108719
                   8             1.21281             1.21223           -0.103269
                   9             1.36441             1.36372          -0.0976617
                  10             1.51601             1.51522          -0.0919072
                  11             1.66761              1.6667          -0.0860535
                  12             1.81921             1.81819           -0.080302
                  13             1.97081             1.96969          -0.0747101
                  14             2.12241              2.1212          -0.0694804
                  15             2.27401              2.2727          -0.0640126
                  16             2.42561             2.42421          -0.0587042
                  17             2.57721             2.57573          -0.0536956
                  18             2.72881             2.72727          -0.0493684
                  19             2.88041             2.87882          -0.0453339
                  20             3.03201             3.03037          -0.0415486
                  21             3.18362             3.18193          -0.0379819
                  22             3.33522             3.33349          -0.0347201
                  23             3.48682             3.48507          -0.0317297
                  24             3.63842             3.63664          -0.0289799
                  25             3.79002             3.78822          -0.0264339
                  26             3.94162              3.9398          -0.0240967
                  27             4.09322             4.09139          -0.0219606
                  28             4.24482             4.24298           -0.020023
                  29             4.39642             4.39457          -0.0182364
                  30             4.54802             4.54616          -0.0165956
                  31             4.69962             4.69775          -0.0150956
                  32             4.85122             4.84935          -0.0137627
                  33             5.00282             5.00094          -0.0125618
                  34             5.15442             5.15254          -0.0114682
                  35             5.30603             5.30414          -0.0104553
                  36             5.45763             5.45574         -0.00953174
                  37             5.60923             5.60733         -0.00869314
                  38             5.76083             5.75893         -0.00793349
                  39             5.91243             5.91053         -0.00723986
                  40             6.06403             6.06213         -0.00660698
                  41             6.21563             6.21373         -0.00603028
                  42             6.36723             6.36533         -0.00550631
                  43             6.51883             6.51693         -0.00502853
                  44             6.67043             6.66853         -0.00459236
                  45             6.82203             6.82013         -0.00419399
                  46             6.97363             6.97173          -0.0038324
                  47             7.12523             7.12333         -0.00350364
                  48             7.27683             7.27493         -0.00320369
                  49             7.42844             7.42653           -0.002928
                  50             7.58004             7.57813         -0.00267539
                  51             7.73164             7.72973         -0.00244461
                  52             7.88324             7.88133         -0.00223443
                  53             8.03484             8.03293         -0.00204233
                  54             8.18644             8.18454          -0.0018665
                  55             8.33804             8.33614         -0.00170548
                  56             8.48964             8.48774         -0.00155825
                  57             8.64124             8.63934          -0.0014236
                  58             8.79284             8.79094         -0.00130036
                  59             8.94444             8.94254         -0.00118751
                  60             9.09604             9.09414         -0.00108426
                  61             9.24764             9.24574        -0.000989824
                  62             9.39924             9.39734         -0.00090342
                  63             9.55085             9.54894        -0.000824287
                  64             9.70245             9.70054        -0.000751862
                  65             9.85405             9.85214        -0.000685678
                  66             10.0056             10.0037        -0.000625072
                  67             10.1572             10.1553        -0.000569569
                  68             10.3088             10.3069        -0.000518761
                  69             10.4604             10.4585        -0.000472726
                  70             10.6121             10.6101        -0.000431087
                  71             10.7637             10.7617        -0.000393524
                  72             10.9153             10.9133        -0.000359517
                  73             11.0669             11.0649        -0.000328821
                  74             11.2185             11.2165        -0.000301184
                  75             11.3701             11.3681        -0.000276379
                  76             11.5217             11.5198        -0.000254289
                  77             11.6733             11.6714        -0.000234704
                  78             11.8249              11.823        -0.000217488
                  79             11.9765             11.9746        -0.000202515
                  80             12.1281             12.1262        -0.000189425
                  81             12.2797             12.2778        -0.000178037
                  82             12.4313             12.4294        -0.000167724
                  83             12.5829              12.581        -0.000162425
                  84             12.7345             12.7326        -0.000161134
                  85             12.8861             12.8842        -0.000164143
                  86             13.0377             13.0358        -0.000167797
                  87             13.1893             13.1874        -0.000172891
                  88             13.3409              13.339        -0.000179421
                  89             13.4925             13.4906        -0.000187263
                  90             13.6441             13.6422        -0.000196727
                  91             13.7957             13.7938        -0.000208038
                  92             13.9473             13.9454        -0.000221567
                  93             14.0989              14.097        -0.000237597
                  94             14.2505             14.2486        -0.000256774
                  95             14.4021             14.4002        -0.000280213
                  96             14.5537             14.5518        -0.000309929
                  97             14.7053             14.7034        -0.000345353
                  98             14.8569              14.855        -0.000391705
                  99             15.0085             15.0066        -0.000461798
