            Interval               Theta              Radial            Vertical
                   0                   0                   0             1.40701
                   0                   0                   0             1.40701
                   1           0.0317333           0.0317279              1.4065
                   2           0.0634665           0.0634239             1.40499
                   3           0.0951998            0.095056             1.40248
                   4            0.126933            0.126592             1.39896
                   5            0.158666            0.158001             1.39445
                   6              0.1904            0.189251             1.38894
                   7            0.222133            0.220311             1.38244
                   8            0.253866            0.251148             1.37496
                   9            0.285599            0.281733              1.3665
                  10            0.317333            0.312033             1.35708
                  11            0.349066             0.34202              1.3467
                  12            0.380799            0.371662             1.33537
                  13            0.412532            0.400931             1.32312
                  14            0.444266            0.429795             1.30993
                  15            0.475999            0.458227             1.29584
                  16            0.507732            0.486197             1.28086
                  17            0.539465            0.513677             1.26499
                  18            0.571199            0.540641             1.24826
                  19            0.602932             0.56706             1.23068
                  20            0.634665            0.592908             1.21228
                  21            0.666398            0.618159             1.19306
                  22            0.698132            0.642788             1.17305
                  23            0.729865            0.666769             1.15227
                  24            0.761598            0.690079             1.13074
                  25            0.793331            0.712694             1.10848
                  26            0.825065            0.734592             1.08552
                  27            0.856798             0.75575             1.06187
                  28            0.888531            0.776146             1.03756
                  29            0.920265            0.795762             1.01262
                  30            0.951998            0.814576            0.987064
                  31            0.983731             0.83257            0.960927
                  32             1.01546            0.849725            0.934232
                  33              1.0472            0.866025            0.907007
                  34             1.07893            0.881453            0.879278
                  35             1.11066            0.895994            0.851074
                  36              1.1424            0.909632            0.822422
                  37             1.17413            0.922354            0.793352
                  38             1.20586            0.934148            0.763893
                  39              1.2376            0.945001            0.734075
                  40             1.26933            0.954902            0.703927
                  41             1.30106            0.963842            0.673481
                  42              1.3328            0.971812            0.642766
                  43             1.36453            0.978802            0.611814
                  44             1.39626            0.984808            0.580655
                  45               1.428            0.989821            0.549322
                  46             1.45973            0.993838            0.517845
                  47             1.49146            0.996855            0.486257
                  48              1.5232            0.998867            0.454589
                  49             1.55493            0.999874            0.422873
                  50             1.58666            0.999874            0.391141
                  51              1.6184            0.998867            0.359425
                  52             1.65013            0.996855            0.327757
                  53             1.68186            0.993838            0.296169
                  54              1.7136            0.989821            0.264692
                  55             1.74533            0.984808            0.233359
                  56             1.77706            0.978802              0.2022
                  57              1.8088            0.971812            0.171248
                  58             1.84053            0.963842            0.140533
                  59             1.87226            0.954902            0.110087
                  60               1.904            0.945001            0.079939
                  61             1.93573            0.934148           0.0501208
                  62             1.96746            0.922354           0.0206618
                  63              1.9992            0.909632         -0.00840804
                  64             2.03093            0.895994          -0.0370596
                  65             2.06266            0.881453          -0.0652641
                  66              2.0944            0.866025           -0.092993
                  67             2.12613            0.849725           -0.120218
                  68             2.15786             0.83257           -0.146913
                  69             2.18959            0.814576            -0.17305
                  70             2.22133            0.795762           -0.198603
                  71             2.25306            0.776146           -0.223546
                  72             2.28479             0.75575           -0.247854
                  73             2.31653            0.734592           -0.271502
                  74             2.34826            0.712694           -0.294468
                  75             2.37999            0.690079           -0.316727
                  76             2.41173            0.666769           -0.338257
                  77             2.44346            0.642788           -0.359037
                  78             2.47519            0.618159           -0.379046
                  79             2.50693            0.592908           -0.398263
                  80             2.53866             0.56706            -0.41667
                  81             2.57039            0.540641           -0.434247
                  82             2.60213            0.513677           -0.450976
                  83             2.63386            0.486197           -0.466842
                  84             2.66559            0.458227           -0.481828
                  85             2.69733            0.429795            -0.49592
                  86             2.72906            0.400931           -0.509101
                  87             2.76079            0.371662           -0.521361
                  88             2.79253             0.34202           -0.532686
                  89             2.82426            0.312033           -0.543064
                  90             2.85599            0.281733           -0.552486
                  91             2.88773            0.251148           -0.560942
                  92             2.91946            0.220311           -0.568423
                  93             2.95119            0.189251           -0.574922
                  94             2.98293            0.158001           -0.580432
                  95             3.01466            0.126592           -0.584948
                  96             3.04639            0.095056           -0.588465
                  97             3.07813           0.0634239            -0.59098
                  98             3.10986           0.0317279            -0.59249
                  99             3.14159                   0           -0.592993
