            Interval               Theta              Radial            Vertical
                   0                   0                   0             1.25632
                   0                   0                   0             1.25632
                   1           0.0317333           0.0317279             1.25582
                   2           0.0634665           0.0634239             1.25431
                   3           0.0951998            0.095056              1.2518
                   4            0.126933            0.126592             1.24828
                   5            0.158666            0.158001             1.24376
                   6              0.1904            0.189251             1.23825
                   7            0.222133            0.220311             1.23175
                   8            0.253866            0.251148             1.22427
                   9            0.285599            0.281733             1.21582
                  10            0.317333            0.312033              1.2064
                  11            0.349066             0.34202             1.19602
                  12            0.380799            0.371662             1.18469
                  13            0.412532            0.400931             1.17243
                  14            0.444266            0.429795             1.15925
                  15            0.475999            0.458227             1.14516
                  16            0.507732            0.486197             1.13017
                  17            0.539465            0.513677             1.11431
                  18            0.571199            0.540641             1.09758
                  19            0.602932             0.56706                1.08
                  20            0.634665            0.592908             1.06159
                  21            0.666398            0.618159             1.04238
                  22            0.698132            0.642788             1.02237
                  23            0.729865            0.666769             1.00159
                  24            0.761598            0.690079            0.980058
                  25            0.793331            0.712694            0.957799
                  26            0.825065            0.734592            0.934834
                  27            0.856798             0.75575            0.911185
                  28            0.888531            0.776146            0.886877
                  29            0.920265            0.795762            0.861934
                  30            0.951998            0.814576            0.836381
                  31            0.983731             0.83257            0.810244
                  32             1.01546            0.849725             0.78355
                  33              1.0472            0.866025            0.756324
                  34             1.07893            0.881453            0.728596
                  35             1.11066            0.895994            0.700391
                  36              1.1424            0.909632            0.671739
                  37             1.17413            0.922354             0.64267
                  38             1.20586            0.934148            0.613211
                  39              1.2376            0.945001            0.583392
                  40             1.26933            0.954902            0.553245
                  41             1.30106            0.963842            0.522798
                  42              1.3328            0.971812            0.492083
                  43             1.36453            0.978802            0.461131
                  44             1.39626            0.984808            0.429973
                  45               1.428            0.989821            0.398639
                  46             1.45973            0.993838            0.367163
                  47             1.49146            0.996855            0.335574
                  48              1.5232            0.998867            0.303906
                  49             1.55493            0.999874             0.27219
                  50             1.58666            0.999874            0.240458
                  51              1.6184            0.998867            0.208743
                  52             1.65013            0.996855            0.177074
                  53             1.68186            0.993838            0.145486
                  54              1.7136            0.989821             0.11401
                  55             1.74533            0.984808           0.0826763
                  56             1.77706            0.978802           0.0515178
                  57              1.8088            0.971812           0.0205655
                  58             1.84053            0.963842          -0.0101494
                  59             1.87226            0.954902          -0.0405959
                  60               1.904            0.945001          -0.0707435
                  61             1.93573            0.934148           -0.100562
                  62             1.96746            0.922354           -0.130021
                  63              1.9992            0.909632           -0.159091
                  64             2.03093            0.895994           -0.187742
                  65             2.06266            0.881453           -0.215947
                  66              2.0944            0.866025           -0.243676
                  67             2.12613            0.849725           -0.270901
                  68             2.15786             0.83257           -0.297596
                  69             2.18959            0.814576           -0.323732
                  70             2.22133            0.795762           -0.349285
                  71             2.25306            0.776146           -0.374228
                  72             2.28479             0.75575           -0.398536
                  73             2.31653            0.734592           -0.422185
                  74             2.34826            0.712694            -0.44515
                  75             2.37999            0.690079            -0.46741
                  76             2.41173            0.666769            -0.48894
                  77             2.44346            0.642788            -0.50972
                  78             2.47519            0.618159           -0.529729
                  79             2.50693            0.592908           -0.548946
                  80             2.53866             0.56706           -0.567352
                  81             2.57039            0.540641           -0.584929
                  82             2.60213            0.513677           -0.601659
                  83             2.63386            0.486197           -0.617525
                  84             2.66559            0.458227           -0.632511
                  85             2.69733            0.429795           -0.646602
                  86             2.72906            0.400931           -0.659784
                  87             2.76079            0.371662           -0.672044
                  88             2.79253             0.34202           -0.683368
                  89             2.82426            0.312033           -0.693747
                  90             2.85599            0.281733           -0.703169
                  91             2.88773            0.251148           -0.711624
                  92             2.91946            0.220311           -0.719105
                  93             2.95119            0.189251           -0.725604
                  94             2.98293            0.158001           -0.731114
                  95             3.01466            0.126592            -0.73563
                  96             3.04639            0.095056           -0.739147
                  97             3.07813           0.0634239           -0.741662
                  98             3.10986           0.0317279           -0.743172
                  99             3.14159                   0           -0.743676
