           iteration                time              height            velocity
                   0                   0                   3           -0.997705
                   1                0.01             2.99002           -0.987268
                   2                0.02             2.98015           -0.977376
                   3                0.03             2.97038           -0.967982
                   4                0.04              2.9607           -0.959047
                   5                0.05             2.95111           -0.950534
                   6                0.06              2.9416            -0.94241
                   7                0.07             2.93218           -0.934647
                   8                0.08             2.92283           -0.927217
                   9                0.09             2.91356           -0.920097
                  10                 0.1             2.90436           -0.913267
                  11                0.11             2.89522           -0.906705
                  12                0.12             2.88616           -0.900393
                  13                0.13             2.87715           -0.894317
                  14                0.14             2.86821           -0.888461
                  15                0.15             2.85933           -0.882809
                  16                0.16              2.8505           -0.877352
                  17                0.17             2.84172           -0.872076
                  18                0.18               2.833           -0.866973
                  19                0.19             2.82433           -0.862031
                  20                 0.2             2.81571            -0.85724
                  21                0.21             2.80714           -0.852594
                  22                0.22             2.79862           -0.848084
                  23                0.23             2.79013           -0.843704
                  24                0.24              2.7817           -0.839446
                  25                0.25              2.7733           -0.835305
                  26                0.26             2.76495           -0.831272
                  27                0.27             2.75664           -0.827345
                  28                0.28             2.74836           -0.823518
                  29                0.29             2.74013           -0.819785
                  30                 0.3             2.73193           -0.816144
                  31                0.31             2.72377           -0.812588
                  32                0.32             2.71564           -0.809115
                  33                0.33             2.70755           -0.805719
                  34                0.34             2.69949           -0.802399
                  35                0.35             2.69147            -0.79915
                  36                0.36             2.68348            -0.79597
                  37                0.37             2.67552           -0.792856
                  38                0.38             2.66759           -0.789807
                  39                0.39             2.65969           -0.786817
                  40                 0.4             2.65182           -0.783884
                  41                0.41             2.64399           -0.781009
                  42                0.42             2.63618           -0.778186
                  43                0.43             2.62839           -0.775414
                  44                0.44             2.62064           -0.772693
                  45                0.45             2.61291           -0.770018
                  46                0.46             2.60521           -0.767387
                  47                0.47             2.59754           -0.764801
                  48                0.48             2.58989           -0.762256
                  49                0.49             2.58227           -0.759753
                  50                 0.5             2.57467           -0.757289
                  51                0.51              2.5671           -0.754864
                  52                0.52             2.55955           -0.752475
                  53                0.53             2.55202           -0.750122
                  54                0.54             2.54452           -0.747803
                  55                0.55             2.53705           -0.745516
                  56                0.56             2.52959           -0.743259
                  57                0.57             2.52216           -0.741033
                  58                0.58             2.51475           -0.738839
                  59                0.59             2.50736           -0.736671
                  60                 0.6             2.49999           -0.734533
                  61                0.61             2.49265           -0.732419
                  62                0.62             2.48532           -0.730333
                  63                0.63             2.47802           -0.728273
                  64                0.64             2.47074           -0.726235
                  65                0.65             2.46347            -0.72422
                  66                0.66             2.45623           -0.722228
                  67                0.67             2.44901            -0.72026
                  68                0.68             2.44181           -0.718313
                  69                0.69             2.43462           -0.716385
                  70                 0.7             2.42746            -0.71448
                  71                0.71             2.42032           -0.712593
                  72                0.72             2.41319           -0.710724
                  73                0.73             2.40608           -0.708873
                  74                0.74             2.39899           -0.707041
                  75                0.75             2.39192           -0.705226
                  76                0.76             2.38487           -0.703427
                  77                0.77             2.37784           -0.701646
                  78                0.78             2.37082           -0.699881
                  79                0.79             2.36382           -0.698129
                  80                 0.8             2.35684           -0.696397
                  81                0.81             2.34988           -0.694676
                  82                0.82             2.34293           -0.692967
                  83                0.83               2.336           -0.691272
                  84                0.84             2.32909           -0.689593
                  85                0.85             2.32219           -0.687926
                  86                0.86             2.31531           -0.686272
                  87                0.87             2.30845           -0.684629
                  88                0.88              2.3016           -0.682999
                  89                0.89             2.29477           -0.681378
                  90                 0.9             2.28796            -0.67977
                  91                0.91             2.28116           -0.678171
                  92                0.92             2.27438           -0.676582
                  93                0.93             2.26761           -0.675009
                  94                0.94             2.26086           -0.673441
                  95                0.95             2.25413           -0.671881
                  96                0.96             2.24741           -0.670334
                  97                0.97             2.24071           -0.668794
                  98                0.98             2.23402           -0.667262
                  99                0.99             2.22735           -0.665739
                 100                   1             2.22069           -0.664225
                 101                1.01             2.21405           -0.662718
                 102                1.02             2.20742           -0.661227
                 103                1.03             2.20081           -0.659739
                 104                1.04             2.19421           -0.658258
                 105                1.05             2.18763           -0.656781
                 106                1.06             2.18106           -0.655311
                 107                1.07             2.17451           -0.653852
                 108                1.08             2.16797           -0.652403
                 109                1.09             2.16144           -0.650956
                 110                 1.1             2.15493           -0.649512
                 111                1.11             2.14844           -0.648074
                 112                1.12             2.14196           -0.646642
