            Interval                 Arc              Radial            Vertical
                   0                   0                   0           -0.672866
                   1            0.151893            0.151871           -0.670282
                   2            0.303785            0.303674           -0.665058
                   3            0.455678            0.455355           -0.657056
                   4            0.607571            0.606864           -0.646254
                   5            0.759464            0.758167           -0.632884
                   6            0.911356             0.90925           -0.617225
                   7             1.06325             1.06012           -0.599609
                   8             1.21514             1.21079           -0.580412
                   9             1.36703             1.36131           -0.559999
                  10             1.51893              1.5117           -0.538739
                  11             1.67082             1.66203           -0.516989
                  12             1.82271             1.81234           -0.495084
                  13             1.97461             1.96266           -0.473317
                  14              2.1265             2.11304           -0.451939
                  15             2.27839              2.2635           -0.431129
                  16             2.43028             2.41406           -0.411052
                  17             2.58218             2.56473            -0.39182
                  18             2.73407             2.71552           -0.373521
                  19             2.88596             2.86642           -0.356179
                  20             3.03785             3.01743           -0.339804
                  21             3.18975             3.16854           -0.324384
                  22             3.34164             3.31974           -0.309899
                  23             3.49353             3.47102           -0.296314
                  24             3.64543             3.62238           -0.283588
                  25             3.79732              3.7738           -0.271673
                  26             3.94921             3.92529           -0.260523
                  27              4.1011             4.07682           -0.250088
                  28               4.253              4.2284            -0.24032
                  29             4.40489             4.38001           -0.231172
                  30             4.55678             4.53167             -0.2226
                  31             4.70867             4.68335            -0.21456
                  32             4.86057             4.83505           -0.207014
                  33             5.01246             4.98678           -0.199925
                  34             5.16435             5.13852           -0.193257
                  35             5.31625             5.29029           -0.186978
                  36             5.46814             5.44206            -0.18106
                  37             5.62003             5.59385           -0.175476
                  38             5.77192             5.74566           -0.170201
                  39             5.92382             5.89747           -0.165212
                  40             6.07571             6.04929           -0.160489
                  41              6.2276             6.20111           -0.156013
                  42             6.37949             6.35295           -0.151766
                  43             6.53139             6.50478           -0.147732
                  44             6.68328             6.65663           -0.143896
                  45             6.83517             6.80848           -0.140247
                  46             6.98707             6.96033            -0.13677
                  47             7.13896             7.11219           -0.133454
                  48             7.29085             7.26405            -0.13029
                  49             7.44274             7.41591           -0.127268
                  50             7.59464             7.56777           -0.124378
                  51             7.74653             7.71964           -0.121613
                  52             7.89842             7.87151           -0.118965
                  53             8.05031             8.02338           -0.116428
                  54             8.20221             8.17526           -0.113994
                  55              8.3541             8.32713           -0.111658
                  56             8.50599             8.47901           -0.109414
                  57             8.65789             8.63089           -0.107258
                  58             8.80978             8.78276           -0.105184
                  59             8.96167             8.93464           -0.103188
                  60             9.11356             9.08652           -0.101265
                  61             9.26546             9.23841          -0.0994132
                  62             9.41735             9.39029          -0.0976275
                  63             9.56924             9.54217          -0.0959049
                  64             9.72113             9.69405          -0.0942422
                  65             9.87303             9.84594          -0.0926365
                  66             10.0249             9.99782          -0.0910852
                  67             10.1768             10.1497          -0.0895856
                  68             10.3287             10.3016          -0.0881353
                  69             10.4806             10.4535          -0.0867321
                  70             10.6325             10.6054          -0.0853738
                  71             10.7844             10.7573          -0.0840585
                  72             10.9363             10.9091          -0.0827843
                  73             11.0882              11.061          -0.0815494
                  74             11.2401             11.2129          -0.0803522
                  75              11.392             11.3648           -0.079191
                  76             11.5438             11.5167          -0.0780645
                  77             11.6957             11.6686          -0.0769711
                  78             11.8476             11.8205          -0.0759097
                  79             11.9995             11.9724          -0.0748789
                  80             12.1514             12.1243          -0.0738776
                  81             12.3033             12.2761          -0.0729046
                  82             12.4552              12.428          -0.0719589
                  83             12.6071             12.5799          -0.0710406
                  84              12.759             12.7318          -0.0701483
                  85             12.9109             12.8837          -0.0692809
                  86             13.0628             13.0356          -0.0684365
                  87             13.2147             13.1875          -0.0676145
                  88             13.3666             13.3394          -0.0668142
                  89             13.5185             13.4913           -0.066035
                  90             13.6703             13.6432          -0.0652765
                  91             13.8222              13.795          -0.0645383
                  92             13.9741             13.9469          -0.0638199
                  93              14.126             14.0988          -0.0631211
                  94             14.2779             14.2507          -0.0624418
                  95             14.4298             14.4026          -0.0617823
                  96             14.5817             14.5545          -0.0611431
                  97             14.7336             14.7064          -0.0605243
                  98             14.8855             14.8583          -0.0599289
                  99             15.0374             15.0102          -0.0593645
