           iteration                time              height            velocity
                   0                   0                   3           -0.997705
                   1                0.01             2.99002            -0.99768
                   2                0.02             2.98005           -0.997655
                   3                0.03             2.97007            -0.99763
                   4                0.04             2.96009           -0.997606
                   5                0.05             2.95012           -0.997581
                   6                0.06             2.94014           -0.997556
                   7                0.07             2.93017           -0.997531
                   8                0.08             2.92019           -0.997506
                   9                0.09             2.91022           -0.997481
                  10                 0.1             2.90024           -0.997456
                  11                0.11             2.89027           -0.997431
                  12                0.12             2.88029           -0.997406
                  13                0.13             2.87032           -0.997381
                  14                0.14             2.86034           -0.997355
                  15                0.15             2.85037            -0.99733
                  16                0.16              2.8404           -0.997305
                  17                0.17             2.83042            -0.99728
                  18                0.18             2.82045           -0.997254
                  19                0.19             2.81048           -0.997229
                  20                 0.2             2.80051           -0.997204
                  21                0.21             2.79053           -0.997178
                  22                0.22             2.78056           -0.997153
                  23                0.23             2.77059           -0.997127
                  24                0.24             2.76062           -0.997102
                  25                0.25             2.75065           -0.997076
                  26                0.26             2.74068            -0.99705
                  27                0.27             2.73071           -0.997025
                  28                0.28             2.72074           -0.996999
                  29                0.29             2.71077           -0.996973
                  30                 0.3              2.7008           -0.996948
                  31                0.31             2.69083           -0.996922
                  32                0.32             2.68086           -0.996896
                  33                0.33             2.67089            -0.99687
                  34                0.34             2.66092           -0.996844
                  35                0.35             2.65095           -0.996818
                  36                0.36             2.64098           -0.996792
                  37                0.37             2.63102           -0.996766
                  38                0.38             2.62105            -0.99674
                  39                0.39             2.61108           -0.996714
                  40                 0.4             2.60111           -0.996688
                  41                0.41             2.59115           -0.996662
                  42                0.42             2.58118           -0.996636
                  43                0.43             2.57121            -0.99661
                  44                0.44             2.56125           -0.996583
                  45                0.45             2.55128           -0.996557
                  46                0.46             2.54132           -0.996531
                  47                0.47             2.53135           -0.996504
                  48                0.48             2.52139           -0.996478
                  49                0.49             2.51142           -0.996452
                  50                 0.5             2.50146           -0.996425
                  51                0.51             2.49149           -0.996399
                  52                0.52             2.48153           -0.996372
                  53                0.53             2.47157           -0.996345
                  54                0.54              2.4616           -0.996319
                  55                0.55             2.45164           -0.996292
                  56                0.56             2.44168           -0.996266
                  57                0.57             2.43171           -0.996239
                  58                0.58             2.42175           -0.996212
                  59                0.59             2.41179           -0.996185
                  60                 0.6             2.40183           -0.996158
                  61                0.61             2.39187           -0.996131
                  62                0.62              2.3819           -0.996105
                  63                0.63             2.37194           -0.996078
                  64                0.64             2.36198           -0.996051
                  65                0.65             2.35202           -0.996024
                  66                0.66             2.34206           -0.995997
                  67                0.67              2.3321           -0.995969
                  68                0.68             2.32214           -0.995942
                  69                0.69             2.31218           -0.995915
                  70                 0.7             2.30222           -0.995888
                  71                0.71             2.29226           -0.995861
                  72                0.72             2.28231           -0.995833
                  73                0.73             2.27235           -0.995806
                  74                0.74             2.26239           -0.995779
                  75                0.75             2.25243           -0.995751
