            Interval                 Arc              Radial            Vertical
                   0                   0                   0            -3.50962
                   1            0.160829            0.160644            -3.50192
                   2            0.321657            0.319899            -3.47948
                   3            0.482486            0.476455            -3.44265
                   4            0.643315             0.62909            -3.39197
                   5            0.804143            0.776747            -3.32823
                   6            0.964972            0.918577             -3.2524
                   7              1.1258             1.05398            -3.16562
                   8             1.28663             1.18267            -3.06915
                   9             1.44746             1.30466            -2.96434
                  10             1.60829             1.42034            -2.85261
                  11             1.76912             1.53046             -2.7354
                  12             1.92994             1.63613            -2.61416
                  13             2.09077             1.73881            -2.49037
                  14              2.2516             1.84016             -2.3655
                  15             2.41243             1.94202            -2.24104
                  16             2.57326             2.04616            -2.11847
                  17             2.73409             2.15411            -1.99925
                  18             2.89492             2.26698            -1.88469
                  19             3.05575             2.38541            -1.77587
                  20             3.21657             2.50952            -1.67359
                  21              3.3774             2.63906            -1.57827
                  22             3.53823             2.77352            -1.49003
                  23             3.69906             2.91228            -1.40872
                  24             3.85989             3.05471            -1.33402
                  25             4.02072              3.2002            -1.26548
                  26             4.18155             3.34824            -1.20263
                  27             4.34237             3.49837            -1.14495
                  28              4.5032             3.65022            -1.09197
                  29             4.66403             3.80349            -1.04323
                  30             4.82486             3.95791           -0.998309
                  31             4.98569              4.1133            -0.95683
                  32             5.14652             4.26948            -0.91845
                  33             5.30735             4.42633           -0.882865
                  34             5.46818             4.58372           -0.849803
                  35               5.629             4.74158           -0.819023
                  36             5.78983             4.89982           -0.790309
                  37             5.95066             5.05839           -0.763472
                  38             6.11149             5.21725           -0.738342
                  39             6.27232             5.37634           -0.714767
                  40             6.43315             5.53564           -0.692614
                  41             6.59398             5.69511           -0.671761
                  42             6.75481             5.85473           -0.652102
                  43             6.91563             6.01448           -0.633539
                  44             7.07646             6.17435           -0.615985
                  45             7.23729             6.33432           -0.599363
                  46             7.39812             6.49437           -0.583602
                  47             7.55895              6.6545           -0.568639
                  48             7.71978              6.8147           -0.554414
                  49             7.88061             6.97496           -0.540877
                  50             8.04143             7.13527           -0.527979
                  51             8.20226             7.29563           -0.515676
                  52             8.36309             7.45603            -0.50393
                  53             8.52392             7.61646           -0.492704
                  54             8.68475             7.77693           -0.481964
                  55             8.84558             7.93743           -0.471681
                  56             9.00641             8.09796           -0.461825
                  57             9.16724             8.25851           -0.452372
                  58             9.32806             8.41908           -0.443298
                  59             9.48889             8.57968            -0.43458
                  60             9.64972             8.74029           -0.426199
                  61             9.81055             8.90091           -0.418135
                  62             9.97138             9.06155           -0.410371
                  63             10.1322             9.22221           -0.402891
                  64              10.293             9.38287           -0.395679
                  65             10.4539             9.54355           -0.388723
                  66             10.6147             9.70424           -0.382009
                  67             10.7755             9.86494           -0.375524
                  68             10.9364             10.0256           -0.369257
                  69             11.0972             10.1864           -0.363198
                  70              11.258             10.3471           -0.357337
                  71             11.4188             10.5078           -0.351665
                  72             11.5797             10.6685           -0.346172
                  73             11.7405             10.8293            -0.34085
                  74             11.9013               10.99           -0.335693
                  75             12.0622             11.1508           -0.330691
                  76              12.223             11.3115            -0.32584
                  77             12.3838             11.4723           -0.321132
                  78             12.5446             11.6331           -0.316562
                  79             12.7055             11.7938           -0.312123
                  80             12.8663             11.9546           -0.307811
                  81             13.0271             12.1154           -0.303619
                  82              13.188             12.2762           -0.299545
                  83             13.3488             12.4369           -0.295582
                  84             13.5096             12.5977           -0.291727
                  85             13.6704             12.7585           -0.287976
                  86             13.8313             12.9193           -0.284324
                  87             13.9921             13.0801            -0.28077
                  88             14.1529             13.2409           -0.277308
                  89             14.3138             13.4017           -0.273936
                  90             14.4746             13.5625           -0.270651
                  91             14.6354             13.7233            -0.26745
                  92             14.7962             13.8841           -0.264331
                  93             14.9571             14.0449           -0.261291
                  94             15.1179             14.2057           -0.258329
                  95             15.2787             14.3665           -0.255443
                  96             15.4396             14.5273           -0.252633
                  97             15.6004             14.6881           -0.249897
                  98             15.7612             14.8489           -0.247238
                  99              15.922             15.0097           -0.244666
