            Interval                 Arc              Radial            Vertical
                   0                   0                   0          -0.0214877
                   1             0.15152             0.15152          -0.0214006
                   2             0.30304             0.30304          -0.0212253
                   3             0.45456             0.45456          -0.0209559
                   4            0.606081             0.60608          -0.0205952
                   5            0.757601            0.757599          -0.0201523
                   6            0.909121            0.909119          -0.0196387
                   7             1.06064             1.06064          -0.0190669
                   8             1.21216             1.21216            -0.01845
                   9             1.36368             1.36368          -0.0178005
                  10              1.5152             1.51519            -0.01713
                  11             1.66672             1.66671          -0.0164492
                  12             1.81824             1.81823          -0.0157673
                  13             1.96976             1.96975          -0.0150922
                  14             2.12128             2.12127          -0.0144301
                  15              2.2728             2.27279          -0.0137859
                  16             2.42432             2.42431          -0.0131633
                  17             2.57584             2.57582          -0.0125652
                  18             2.72736             2.72734          -0.0119932
                  19             2.87888             2.87886          -0.0114482
                  20              3.0304             3.03038          -0.0109306
                  21             3.18192              3.1819          -0.0104403
                  22             3.33344             3.33342         -0.00997665
                  23             3.48496             3.48494         -0.00953903
                  24             3.63648             3.63646          -0.0091264
                  25               3.788             3.78798         -0.00873768
                  26             3.93952              3.9395         -0.00837168
                  27             4.09104             4.09102         -0.00802717
                  28             4.24256             4.24254         -0.00770293
                  29             4.39408             4.39406         -0.00739774
                  30              4.5456             4.54558         -0.00711041
                  31             4.69712              4.6971         -0.00683981
                  32             4.84864             4.84862         -0.00658485
                  33             5.00016             5.00014         -0.00634449
                  34             5.15168             5.15166         -0.00611778
                  35              5.3032             5.30318         -0.00590379
                  36             5.45473              5.4547         -0.00570166
                  37             5.60625             5.60622         -0.00551062
                  38             5.75777             5.75774          -0.0053299
                  39             5.90929             5.90926         -0.00515883
                  40             6.06081             6.06078         -0.00499677
                  41             6.21233              6.2123         -0.00484311
                  42             6.36385             6.36382         -0.00469732
                  43             6.51537             6.51534         -0.00455888
                  44             6.66689             6.66686         -0.00442732
                  45             6.81841             6.81838          -0.0043022
                  46             6.96993              6.9699         -0.00418313
                  47             7.12145             7.12142         -0.00406971
                  48             7.27297             7.27294         -0.00396162
                  49             7.42449             7.42446         -0.00385852
                  50             7.57601             7.57598         -0.00376011
                  51             7.72753              7.7275         -0.00366613
                  52             7.87905             7.87902          -0.0035763
                  53             8.03057             8.03054          -0.0034904
                  54             8.18209             8.18206         -0.00340819
                  55             8.33361             8.33358         -0.00332948
                  56             8.48513              8.4851         -0.00325407
                  57             8.63665             8.63662         -0.00318178
                  58             8.78817             8.78814         -0.00311245
                  59             8.93969             8.93966         -0.00304591
                  60             9.09121             9.09118         -0.00298202
                  61             9.24273              9.2427         -0.00292065
                  62             9.39425             9.39422         -0.00286168
                  63             9.54577             9.54574         -0.00280497
                  64             9.69729             9.69726         -0.00275042
                  65             9.84881             9.84878         -0.00269793
                  66             10.0003             10.0003         -0.00264739
                  67             10.1518             10.1518         -0.00259873
                  68             10.3034             10.3033         -0.00255184
                  69             10.4549             10.4549         -0.00250666
                  70             10.6064             10.6064         -0.00246311
                  71             10.7579             10.7579         -0.00242111
                  72             10.9095             10.9094         -0.00238059
                  73              11.061             11.0609         -0.00234151
                  74             11.2125             11.2125         -0.00230379
                  75              11.364              11.364         -0.00226739
                  76             11.5155             11.5155         -0.00223225
                  77             11.6671              11.667         -0.00219833
                  78             11.8186             11.8185         -0.00216557
                  79             11.9701             11.9701         -0.00213394
                  80             12.1216             12.1216          -0.0021034
                  81             12.2731             12.2731         -0.00207391
                  82             12.4247             12.4246         -0.00204543
                  83             12.5762             12.5761         -0.00201795
                  84             12.7277             12.7277         -0.00199144
                  85             12.8792             12.8792         -0.00196586
                  86             13.0307             13.0307         -0.00194118
                  87             13.1823             13.1822         -0.00191738
                  88             13.3338             13.3337         -0.00189444
                  89             13.4853             13.4853         -0.00187235
                  90             13.6368             13.6368          -0.0018511
                  91             13.7883             13.7883         -0.00183068
                  92             13.9399             13.9398         -0.00181111
                  93             14.0914             14.0913         -0.00179238
                  94             14.2429             14.2429         -0.00177452
                  95             14.3944             14.3944         -0.00175757
                  96             14.5459             14.5459         -0.00174161
                  97             14.6975             14.6974         -0.00172674
                  98              14.849             14.8489         -0.00171322
                  99             15.0005             15.0005         -0.00170174
