           iteration                time              height            velocity
                   0                   0                   3           -0.997705
                   1                0.01             2.99002           -0.972982
                   2                0.02             2.98029            -0.95122
                   3                0.03             2.97078              -0.932
                   4                0.04             2.96146           -0.914963
                   5                0.05             2.95231           -0.899804
                   6                0.06             2.94331           -0.886265
                   7                0.07             2.93445           -0.874122
                   8                0.08             2.92571           -0.863185
                   9                0.09             2.91708           -0.853294
                  10                 0.1             2.90854           -0.844309
                  11                0.11              2.9001           -0.836111
                  12                0.12             2.89174             -0.8286
                  13                0.13             2.88345           -0.821689
                  14                0.14             2.87524           -0.815302
                  15                0.15             2.86708           -0.809377
                  16                0.16             2.85899           -0.803857
                  17                0.17             2.85095           -0.798696
                  18                0.18             2.84297           -0.793854
                  19                0.19             2.83503           -0.789294
                  20                 0.2             2.82713           -0.784986
                  21                0.21             2.81928           -0.780905
                  22                0.22             2.81147           -0.777027
                  23                0.23              2.8037           -0.773332
                  24                0.24             2.79597           -0.769804
                  25                0.25             2.78827           -0.766427
                  26                0.26             2.78061           -0.763188
                  27                0.27             2.77298           -0.760075
                  28                0.28             2.76538           -0.757079
                  29                0.29             2.75781           -0.754189
                  30                 0.3             2.75026           -0.751399
                  31                0.31             2.74275           -0.748701
                  32                0.32             2.73526           -0.746088
                  33                0.33              2.7278           -0.743555
                  34                0.34             2.72037           -0.741097
                  35                0.35             2.71296            -0.73871
                  36                0.36             2.70557           -0.736388
                  37                0.37              2.6982           -0.734128
                  38                0.38             2.69086           -0.731928
                  39                0.39             2.68354           -0.729783
                  40                 0.4             2.67625            -0.72769
                  41                0.41             2.66897           -0.725648
                  42                0.42             2.66171           -0.723653
                  43                0.43             2.65448           -0.721703
                  44                0.44             2.64726           -0.719796
                  45                0.45             2.64006            -0.71793
                  46                0.46             2.63288           -0.716103
                  47                0.47             2.62572           -0.714314
                  48                0.48             2.61858            -0.71256
                  49                0.49             2.61145            -0.71084
                  50                 0.5             2.60434           -0.709153
                  51                0.51             2.59725           -0.707497
                  52                0.52             2.59018           -0.705871
                  53                0.53             2.58312           -0.704274
                  54                0.54             2.57608           -0.702704
                  55                0.55             2.56905            -0.70116
                  56                0.56             2.56204           -0.699642
                  57                0.57             2.55504           -0.698147
                  58                0.58             2.54806           -0.696676
                  59                0.59             2.54109           -0.695227
                  60                 0.6             2.53414           -0.693799
                  61                0.61              2.5272           -0.692391
                  62                0.62             2.52028           -0.691003
                  63                0.63             2.51337           -0.689634
                  64                0.64             2.50647           -0.688283
                  65                0.65             2.49959           -0.686949
                  66                0.66             2.49272           -0.685632
                  67                0.67             2.48586            -0.68433
                  68                0.68             2.47902           -0.683044
                  69                0.69             2.47219           -0.681773
                  70                 0.7             2.46537           -0.680515
                  71                0.71             2.45857           -0.679271
                  72                0.72             2.45177           -0.678039
                  73                0.73             2.44499            -0.67682
                  74                0.74             2.43823           -0.675613
                  75                0.75             2.43147           -0.674417
                  76                0.76             2.42472           -0.673232
                  77                0.77             2.41799           -0.672057
                  78                0.78             2.41127           -0.670892
                  79                0.79             2.40456           -0.669737
                  80                 0.8             2.39787            -0.66859
                  81                0.81             2.39118           -0.667453
                  82                0.82             2.38451           -0.666323
                  83                0.83             2.37784           -0.665202
                  84                0.84             2.37119           -0.664088
                  85                0.85             2.36455           -0.662981
                  86                0.86             2.35792           -0.661881
                  87                0.87              2.3513           -0.660788
                  88                0.88             2.34469           -0.659701
                  89                0.89              2.3381            -0.65862
                  90                 0.9             2.33151           -0.657545
                  91                0.91             2.32493           -0.656475
                  92                0.92             2.31837            -0.65541
                  93                0.93             2.31182            -0.65435
                  94                0.94             2.30527           -0.653295
                  95                0.95             2.29874           -0.652244
                  96                0.96             2.29222           -0.651197
                  97                0.97              2.2857           -0.650154
                  98                0.98              2.2792           -0.649115
                  99                0.99             2.27271           -0.648079
                 100                   1             2.26623           -0.647047
                 101                1.01             2.25976           -0.646017
                 102                1.02              2.2533           -0.644991
                 103                1.03             2.24685           -0.643967
                 104                1.04             2.24041           -0.642946
                 105                1.05             2.23398           -0.641927
                 106                1.06             2.22756            -0.64091
                 107                1.07             2.22115           -0.639896
                 108                1.08             2.21475           -0.638883
                 109                1.09             2.20836           -0.637872
                 110                 1.1             2.20199           -0.636863
                 111                1.11             2.19562           -0.635855
                 112                1.12             2.18926           -0.634848
                 113                1.13             2.18291           -0.633843
                 114                1.14             2.17657           -0.632839
                 115                1.15             2.17024           -0.631835
                 116                1.16             2.16393           -0.630833
                 117                1.17             2.15762           -0.629831
                 118                1.18             2.15132           -0.628829
                 119                1.19             2.14503           -0.627829
                 120                 1.2             2.13875           -0.626828
                 121                1.21             2.13248           -0.625828
                 122                1.22             2.12623           -0.624828
                 123                1.23             2.11998           -0.623828
                 124                1.24             2.11374           -0.622828
                 125                1.25             2.10751           -0.621828
                 126                1.26             2.10129           -0.620828
                 127                1.27             2.09508           -0.619828
                 128                1.28             2.08889           -0.618827
                 129                1.29              2.0827           -0.617826
                 130                 1.3             2.07652           -0.616824
                 131                1.31             2.07035           -0.615822
                 132                1.32             2.06419           -0.614819
                 133                1.33             2.05804           -0.613815
                 134                1.34             2.05191            -0.61281
                 135                1.35             2.04578           -0.611805
                 136                1.36             2.03966           -0.610799
                 137                1.37             2.03355           -0.609792
                 138                1.38             2.02745           -0.608784
                 139                1.39             2.02137           -0.607774
                 140                 1.4             2.01529           -0.606764
                 141                1.41             2.00922           -0.605752
                 142                1.42             2.00316           -0.604739
                 143                1.43             1.99712           -0.603725
                 144                1.44             1.99108           -0.602709
                 145                1.45             1.98505           -0.601692
                 146                1.46             1.97904           -0.600674
                 147                1.47             1.97303           -0.599654
                 148                1.48             1.96703           -0.598633
                 149                1.49             1.96105            -0.59761
                 150                 1.5             1.95507           -0.596585
                 151                1.51              1.9491           -0.595558
                 152                1.52             1.94315            -0.59453
                 153                1.53              1.9372           -0.593501
                 154                1.54             1.93127           -0.592469
                 155                1.55             1.92534           -0.591436
                 156                1.56             1.91943             -0.5904
                 157                1.57             1.91352           -0.589363
                 158                1.58             1.90763           -0.588324
                 159                1.59             1.90175           -0.587283
                 160                 1.6             1.89587           -0.586241
                 161                1.61             1.89001           -0.585196
                 162                1.62             1.88416           -0.584149
                 163                1.63             1.87832             -0.5831
                 164                1.64             1.87249           -0.582049
                 165                1.65             1.86667           -0.580995
                 166                1.66             1.86086            -0.57994
                 167                1.67             1.85506           -0.578882
                 168                1.68             1.84927           -0.577823
                 169                1.69             1.84349           -0.576761
                 170                 1.7             1.83772           -0.575697
                 171                1.71             1.83197            -0.57463
                 172                1.72             1.82622           -0.573562
                 173                1.73             1.82048           -0.572491
                 174                1.74             1.81476           -0.571418
                 175                1.75             1.80905           -0.570342
                 176                1.76             1.80334           -0.569264
                 177                1.77             1.79765           -0.568184
                 178                1.78             1.79197           -0.567101
                 179                1.79              1.7863           -0.566016
                 180                 1.8             1.78064           -0.564929
                 181                1.81             1.77499           -0.563839
                 182                1.82             1.76935           -0.562747
                 183                1.83             1.76372           -0.561652
                 184                1.84              1.7581           -0.560555
                 185                1.85              1.7525           -0.559455
                 186                1.86              1.7469           -0.558353
                 187                1.87             1.74132           -0.557248
                 188                1.88             1.73575           -0.556141
                 189                1.89             1.73019           -0.555032
                 190                 1.9             1.72464           -0.553919
                 191                1.91              1.7191           -0.552805
                 192                1.92             1.71357           -0.551687
                 193                1.93             1.70805           -0.550568
                 194                1.94             1.70255           -0.549445
                 195                1.95             1.69705            -0.54832
                 196                1.96             1.69157           -0.547193
                 197                1.97              1.6861           -0.546063
                 198                1.98             1.68064            -0.54493
                 199                1.99             1.67519           -0.543795
                 200                   2             1.66975           -0.542657
                 201                2.01             1.66432           -0.541516
                 202                2.02             1.65891           -0.540373
                 203                2.03              1.6535           -0.539228
                 204                2.04             1.64811           -0.538079
                 205                2.05             1.64273           -0.536928
                 206                2.06             1.63736           -0.535775
                 207                2.07               1.632           -0.534619
                 208                2.08             1.62666            -0.53346
                 209                2.09             1.62132           -0.532299
                 210                 2.1               1.616           -0.531135
                 211                2.11             1.61069           -0.529968
                 212                2.12             1.60539           -0.528799
                 213                2.13              1.6001           -0.527627
                 214                2.14             1.59483           -0.526453
                 215                2.15             1.58956           -0.525276
                 216                2.16             1.58431           -0.524096
                 217                2.17             1.57907           -0.522914
                 218                2.18             1.57384           -0.521729
                 219                2.19             1.56862           -0.520541
                 220                 2.2             1.56341           -0.519351
                 221                2.21             1.55822           -0.518159
                 222                2.22             1.55304           -0.516963
                 223                2.23             1.54787           -0.515766
                 224                2.24             1.54271           -0.514565
                 225                2.25             1.53757           -0.513362
                 226                2.26             1.53243           -0.512157
                 227                2.27             1.52731           -0.510949
                 228                2.28              1.5222           -0.509738
                 229                2.29              1.5171           -0.508525
                 230                 2.3             1.51202           -0.507309
                 231                2.31             1.50695           -0.506091
                 232                2.32             1.50189            -0.50487
                 233                2.33             1.49684           -0.503647
                 234                2.34              1.4918           -0.502421
                 235                2.35             1.48678           -0.501192
                 236                2.36             1.48176           -0.499962
                 237                2.37             1.47676           -0.498728
                 238                2.38             1.47178           -0.497493
                 239                2.39              1.4668           -0.496255
                 240                 2.4             1.46184           -0.495014
                 241                2.41             1.45689           -0.493771
                 242                2.42             1.45195           -0.492525
                 243                2.43             1.44703           -0.491277
                 244                2.44             1.44211           -0.490027
                 245                2.45             1.43721           -0.488775
                 246                2.46             1.43233           -0.487519
                 247                2.47             1.42745           -0.486262
                 248                2.48             1.42259           -0.485002
                 249                2.49             1.41774            -0.48374
                 250                 2.5              1.4129           -0.482476
                 251                2.51             1.40808            -0.48121
                 252                2.52             1.40326           -0.479941
                 253                2.53             1.39846            -0.47867
                 254                2.54             1.39368           -0.477396
                 255                2.55              1.3889           -0.476121
                 256                2.56             1.38414           -0.474843
                 257                2.57             1.37939           -0.473563
                 258                2.58             1.37466           -0.472281
                 259                2.59             1.36994           -0.470996
                 260                 2.6             1.36523            -0.46971
                 261                2.61             1.36053           -0.468421
                 262                2.62             1.35584           -0.467131
                 263                2.63             1.35117           -0.465838
                 264                2.64             1.34651           -0.464543
                 265                2.65             1.34187           -0.463246
                 266                2.66             1.33724           -0.461948
                 267                2.67             1.33262           -0.460647
                 268                2.68             1.32801           -0.459344
                 269                2.69             1.32342           -0.458039
                 270                 2.7             1.31884           -0.456733
                 271                2.71             1.31427           -0.455424
                 272                2.72             1.30972           -0.454114
                 273                2.73             1.30517           -0.452802
                 274                2.74             1.30065           -0.451488
                 275                2.75             1.29613           -0.450172
                 276                2.76             1.29163           -0.448854
                 277                2.77             1.28714           -0.447535
                 278                2.78             1.28267           -0.446214
